phrase,lemmas,pos,example,source
para,para,PROPN,"In fact, psychologists Peter Pearson and Ellyn Bader, who founded the Couples Institute in Palo Alto, California, have compared the experience of the clinician in couples’ therapy to “piloting a helicopter in a hurricane” (Weil, 2012, para. 7).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
a special form,a special form,"DET,ADJ,NOUN","Family therapy is a special form of group therapy, consisting of one or more families.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
many theoretical orientations,many theoretical orientation,"ADJ,ADJ,NOUN","Although there are many theoretical orientations in family therapy, one of the most predominant is the systems approach.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the systems approach,the system approach,"DET,NOUN,NOUN","Although there are many theoretical orientations in family therapy, one of the most predominant is the systems approach.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
approach,approach,NOUN,"Although there are many theoretical orientations in family therapy, one of the most predominant is the systems approach.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
a family,a family,"DET,NOUN",A family with this dynamic might wish to attend therapy together rather than individually.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
this dynamic,this dynamic,"DET,NOUN",A family with this dynamic might wish to attend therapy together rather than individually.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
teen daughter,teen daughter,"PROPN,NOUN","For example, a mother’s depression, teen daughter’s eating disorder, or father’s alcohol dependence could affect all members of the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
disorder,disorder,NOUN,"For example, a mother’s depression, teen daughter’s eating disorder, or father’s alcohol dependence could affect all members of the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
all members of,all member of,"DET,NOUN,ADP","For example, a mother’s depression, teen daughter’s eating disorder, or father’s alcohol dependence could affect all members of the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the issue,the issue,"DET,NOUN","The therapist would work with all members of the family to help them cope with the issue, and to encourage resolution and growth in the case of the individual family member with the problem.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
resolution,resolution,NOUN,"The therapist would work with all members of the family to help them cope with the issue, and to encourage resolution and growth in the case of the individual family member with the problem.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
growth,growth,NOUN,"The therapist would work with all members of the family to help them cope with the issue, and to encourage resolution and growth in the case of the individual family member with the problem.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the case,the case,"DET,NOUN","The therapist would work with all members of the family to help them cope with the issue, and to encourage resolution and growth in the case of the individual family member with the problem.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the problem,the problem,"DET,NOUN","The therapist would work with all members of the family to help them cope with the issue, and to encourage resolution and growth in the case of the individual family member with the problem.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
would,would,AUX,"The therapist would work with all members of the family to help them cope with the issue, and to encourage resolution and growth in the case of the individual family member with the problem.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
member,member,NOUN,"The therapist would work with all members of the family to help them cope with the issue, and to encourage resolution and growth in the case of the individual family member with the problem.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
therapist would,therapist would,"NOUN,AUX","The therapist would work with all members of the family to help them cope with the issue, and to encourage resolution and growth in the case of the individual family member with the problem.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
with the,with the,"ADP,PRON","The therapist would work with all members of the family to help them cope with the issue, and to encourage resolution and growth in the case of the individual family member with the problem.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the therapist would,the therapist would,"DET,NOUN,AUX","The therapist would work with all members of the family to help them cope with the issue, and to encourage resolution and growth in the case of the individual family member with the problem.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
whoever,whoever,PRON,"With family therapy, the nuclear family (i.e., parents and children) or the nuclear family plus whoever lives in the household (e.g., grandparent) come into treatment.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the household,the household,"DET,NOUN","With family therapy, the nuclear family (i.e., parents and children) or the nuclear family plus whoever lives in the household (e.g., grandparent) come into treatment.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
nuclear,nuclear,ADJ,"With family therapy, the nuclear family (i.e., parents and children) or the nuclear family plus whoever lives in the household (e.g., grandparent) come into treatment.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the nuclear,the nuclear,"DET,NOUN","With family therapy, the nuclear family (i.e., parents and children) or the nuclear family plus whoever lives in the household (e.g., grandparent) come into treatment.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
nuclear family,nuclear family,"ADJ,NOUN","With family therapy, the nuclear family (i.e., parents and children) or the nuclear family plus whoever lives in the household (e.g., grandparent) come into treatment.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
several different types,several different type,"ADJ,ADJ,NOUN",There are several different types of family therapy.,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
structural family therapy,structural family therapy,"ADJ,NOUN,NOUN","In structural family therapy , the therapist examines and discusses the boundaries and structure of the family: who makes the rules, who sleeps in the bed with whom, how decisions are made, and what are the boundaries within the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
structure,structure,NOUN,"In structural family therapy , the therapist examines and discusses the boundaries and structure of the family: who makes the rules, who sleeps in the bed with whom, how decisions are made, and what are the boundaries within the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the rules,the rule,"DET,NOUN","In structural family therapy , the therapist examines and discusses the boundaries and structure of the family: who makes the rules, who sleeps in the bed with whom, how decisions are made, and what are the boundaries within the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the bed,the bed,"DET,NOUN","In structural family therapy , the therapist examines and discusses the boundaries and structure of the family: who makes the rules, who sleeps in the bed with whom, how decisions are made, and what are the boundaries within the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
whom,whom,PRON,"In structural family therapy , the therapist examines and discusses the boundaries and structure of the family: who makes the rules, who sleeps in the bed with whom, how decisions are made, and what are the boundaries within the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
decisions,decision,NOUN,"In structural family therapy , the therapist examines and discusses the boundaries and structure of the family: who makes the rules, who sleeps in the bed with whom, how decisions are made, and what are the boundaries within the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
boundaries,boundary,NOUN,"In structural family therapy , the therapist examines and discusses the boundaries and structure of the family: who makes the rules, who sleeps in the bed with whom, how decisions are made, and what are the boundaries within the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
within,within,ADP,"In structural family therapy , the therapist examines and discusses the boundaries and structure of the family: who makes the rules, who sleeps in the bed with whom, how decisions are made, and what are the boundaries within the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
within the,within the,"ADP,PRON","In structural family therapy , the therapist examines and discusses the boundaries and structure of the family: who makes the rules, who sleeps in the bed with whom, how decisions are made, and what are the boundaries within the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
within the family,within the family,"ADP,DET,NOUN","In structural family therapy , the therapist examines and discusses the boundaries and structure of the family: who makes the rules, who sleeps in the bed with whom, how decisions are made, and what are the boundaries within the family.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
strategic family therapy,strategic family therapy,"ADJ,NOUN,NOUN","In strategic family therapy , the goal is to address specific problems within the family that can be dealt with in a relatively short amount of time.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the goal,the goal,"DET,NOUN","In strategic family therapy , the goal is to address specific problems within the family that can be dealt with in a relatively short amount of time.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
specific problems,specific problem,"ADJ,NOUN","In strategic family therapy , the goal is to address specific problems within the family that can be dealt with in a relatively short amount of time.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the therapy session,the therapy session,"DET,NOUN,NOUN","Typically, the therapist would guide what happens in the therapy session and design a detailed approach to resolving each member’s problem (Madanes, 1991).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
a detailed approach,a detailed approach,"DET,ADJ,NOUN","Typically, the therapist would guide what happens in the therapy session and design a detailed approach to resolving each member’s problem (Madanes, 1991).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
madanes,madane,NOUN,"Typically, the therapist would guide what happens in the therapy session and design a detailed approach to resolving each member’s problem (Madanes, 1991).",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the various modalities,the various modality,"DET,ADJ,NOUN","Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
treatment discuss benefits,treatment discuss benefit,"NOUN,NOUN,NOUN",,https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
a print format,a print format,"DET,NOUN,NOUN","Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
every physical page,every physical page,"DET,ADJ,NOUN","Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
a digital format,a digital format,"DET,ADJ,NOUN","Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
every digital page,every digital page,"DET,ADJ,NOUN","Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
the information,the information,"DET,NOUN","Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
a citation,a citation,"DET,NOUN","Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
if,if,SCONJ,"Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
redistributing,redistributing,NOUN,"Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
format,format,NOUN,"Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
then,then,ADV,"Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
must,must,AUX,"Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
include,include,VERB,"Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
every,every,PRON,"Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
page,page,NOUN,"Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
following,follow,VERB,"Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
attribution,attribution,NOUN,"Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
free,free,ADJ,"Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
at,at,ADP,"Distinguish between the various modalities of treatment
Discuss benefits of group therapy
If you are redistributing all or part of this book in a print format,
    then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
If you are redistributing all or part of this book in a digital format,
    then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction
Use the information below to generate a citation.",https://openstax.org/books/psychology-2e/pages/16-3-treatment-modalities
